,Variable,Coefficient,P-value
85,C(COMPANY_ID)[T.1423],613345563.417418,0.3417100079920441
86,C(COMPANY_ID)[T.1428],613345564.6500564,0.3417100070240183
87,C(COMPANY_ID)[T.1429],-5490601995.631523,0.341710007324043
88,C(COMPANY_ID)[T.1431],-4866746734.470825,0.3417100075955898
89,C(COMPANY_ID)[T.1434],-4173102900.8678207,0.34171000714791955
90,C(COMPANY_ID)[T.1435],417175055.9747592,0.3417100057591286
91,C(COMPANY_ID)[T.1442],-4866746735.338272,0.34171000750894975
92,C(COMPANY_ID)[T.1443],-4866746734.772839,0.34171000756511394
93,C(COMPANY_ID)[T.145],417175053.32736576,0.3417100088240448
94,C(COMPANY_ID)[T.1456],-4866746735.955692,0.34171000744781654
95,C(COMPANY_ID)[T.1460],-29208743034.48902,0.34171000736293855
96,C(COMPANY_ID)[T.1469],-29208743034.06446,0.34171000736996127
97,C(COMPANY_ID)[T.1471],613345563.7744954,0.34171000771338467
98,C(COMPANY_ID)[T.1472],1672273398.880756,0.34171000762582704
99,C(COMPANY_ID)[T.1476],613345564.2851582,0.34171000731164036
100,C(COMPANY_ID)[T.1481],-1471402738.598134,0.3417100071024428
101,C(COMPANY_ID)[T.1490],135497076368.19168,0.34171000739555346
102,C(COMPANY_ID)[T.1492],417175054.6342294,0.3417100073117325
103,C(COMPANY_ID)[T.1496],417175054.2265911,0.3417100077834534
104,C(COMPANY_ID)[T.15],21035850.43384932,0.34171000738105994
105,C(COMPANY_ID)[T.1503],-4866746740.01512,0.3417100070450555
106,C(COMPANY_ID)[T.1513],417175054.77357805,0.34171000715133604
107,C(COMPANY_ID)[T.1516],-4866746736.381071,0.34171000740554525
108,C(COMPANY_ID)[T.1526],-29208743033.830864,0.3417100073738344
109,C(COMPANY_ID)[T.1530],2846990704.7432804,0.3417100073197873
110,C(COMPANY_ID)[T.1535],613345563.335788,0.34171000805841
111,C(COMPANY_ID)[T.154],-124595966.0210306,0.3417100073810788
112,C(COMPANY_ID)[T.1546],-1076658044.488512,0.34171000744849545
