Variable,Coefficient,P-value
C(COMPANY_ID)[T.2693],-0.07004391452560843,0.5856884987381858
C(COMPANY_ID)[T.2715],-0.2013488065824316,0.11794363248568186
C(COMPANY_ID)[T.2716],18.371982543211267,0.29134427638343796
C(COMPANY_ID)[T.2721],9.57733827009396,0.7365948029730953
C(COMPANY_ID)[T.2722],63.81696234101125,0.032580960159820545
C(COMPANY_ID)[T.2739],74.80905567911003,0.010048280514406238
C(COMPANY_ID)[T.2742],-92.23257695416584,0.02154545847300736
C(COMPANY_ID)[T.2743],17.306901939040493,0.2869624376888702
C(COMPANY_ID)[T.2754],25.995167698444135,0.45310711366330525
C(COMPANY_ID)[T.2789],23.08390796140688,0.19063906290924765
C(COMPANY_ID)[T.2809],-0.18736741262969092,0.14671633275649335
C(COMPANY_ID)[T.2816],17.018429008898824,0.13535053187381416
C(COMPANY_ID)[T.2838],-4.761222821075286,0.787253538927591
C(COMPANY_ID)[T.2843],0.001266112977566125,0.9827565080988534
C(COMPANY_ID)[T.285],-38.369912813561655,0.35715610057875025
C(COMPANY_ID)[T.2854],-74.51561679894894,0.11896347895103636
C(COMPANY_ID)[T.2867],256.87770743691453,0.4461754583041526
C(COMPANY_ID)[T.2881],36.92991589333678,0.3196343471277818
C(COMPANY_ID)[T.2901],-0.18205217593155698,0.027005651275490795
C(COMPANY_ID)[T.2905],-553.528147174713,0.28388909982918675
C(COMPANY_ID)[T.2907],25.988851197671373,0.040271914553415014
C(COMPANY_ID)[T.2943],8.243577051752368,0.8608862185995032
C(COMPANY_ID)[T.2959],30.32335710537936,0.4527143850499983
C(COMPANY_ID)[T.2967],-4.6860504723530525,0.7338373826131022
C(COMPANY_ID)[T.2972],14.325667424718958,0.36523984151959343
C(COMPANY_ID)[T.2973],89.55042168815612,0.3844254749133802
C(COMPANY_ID)[T.3032],25.246853782784882,0.3621830373575011
C(COMPANY_ID)[T.3068],-9.953300053011617,0.8943542329187988
C(COMPANY_ID)[T.3079],29.570255190868295,0.050984683952351964
C(COMPANY_ID)[T.3084],0.07127618927242071,0.2664333064249656
C(COMPANY_ID)[T.3092],-1.510138414497959,0.8973655270768314
C(COMPANY_ID)[T.3109],-30.685452676821384,0.15230992395695434
C(COMPANY_ID)[T.3135],33.95862570494381,0.29021556399536913
C(COMPANY_ID)[T.3169],-27.380970475900163,0.42102353338496046
C(COMPANY_ID)[T.3181],8.556753230959735,0.6176396347282553
C(COMPANY_ID)[T.3189],-9.69363710376632,0.7958329838268778
C(COMPANY_ID)[T.3208],-1.0870116467871185,0.9663191457482004
C(COMPANY_ID)[T.3223],-0.01667722742024596,0.8328148178086915
C(COMPANY_ID)[T.3246],0.5583437371553046,0.9602927550034124
C(COMPANY_ID)[T.3254],10.109012950061015,0.9108230703902414
C(COMPANY_ID)[T.3257],-9.70486241622671,0.4189933697807394
C(COMPANY_ID)[T.3282],29.521837476984217,0.06729359270925073
C(COMPANY_ID)[T.3301],8.832967221190344,0.502130309416297
C(COMPANY_ID)[T.3306],-104.54357045663016,0.17403546483645832
C(COMPANY_ID)[T.3313],17.46894688914952,0.6677349691045269
C(COMPANY_ID)[T.3320],8.382818310167124,0.537457146670471
C(COMPANY_ID)[T.3331],-13.712748090132607,0.39878053617583575
C(COMPANY_ID)[T.3336],-0.0653204511619668,0.4358282879539741
C(COMPANY_ID)[T.3352],9.372762245831638,0.5664802785456213
C(COMPANY_ID)[T.3353],-118.23420332883029,0.5304632354042906
C(COMPANY_ID)[T.3376],30.176326868161432,0.17688961339011575
